alpha,SM,ICP,IFN,NED,normalized_sum
0.0,0.12000409158030928,0.14842236305143433,0.8571428571428571,0.6489028213166144,-2.990796526738498
0.05,0.13419386142639445,0.140574934167491,0.8181818181818182,0.6528662420382165,-2.661362132808968
0.1,0.1350902782367144,0.13338419259501838,0.7777777777777778,0.6516129032258065,-2.437636058929231
0.15,0.14693715953931302,0.1287395514440042,0.7142857142857143,0.6521739130434783,-2.107429580097488
0.2,0.14646078886363686,0.12369053147699774,0.6153846153846154,0.6521739130434783,-1.7833552280395426
0.25,0.1584951500519886,0.11940149138026465,0.6153846153846154,0.3812154696132597,-0.9870743488092614
0.3,0.16328427426130443,0.11169047662112898,0.8,0.4161849710982659,-1.3756195859476983
0.35,0.17426908323965412,0.10612893001091143,0.8,0.38596491228070173,-1.1274726086406446
0.4,0.1690043556192889,0.10275628038499403,0.6666666666666666,0.38888888888888884,-0.7891665507923733
0.45,0.179320222426283,0.09979097722798919,0.6,0.4423076923076923,-0.612461564133124
0.5,0.18077235180630766,0.09348934396032921,0.5384615384615384,0.39790575916230364,-0.2442100027104187
0.55,0.1781619511212254,0.09942546401402294,0.46153846153846156,0.45614035087719296,-0.2986303920634362
0.6,0.16896485597246477,0.09034602818008591,0.6923076923076923,0.4509803921568627,-0.8066188543917757
0.65,0.19062373147789788,0.09618309091257544,0.7692307692307693,0.43434343434343436,-0.8713096302078632
0.7,0.17065851557181613,0.08450743296694498,0.7692307692307693,0.3798449612403101,-0.7314258821063849
0.75,0.19230626625808372,0.09003938966673472,0.8,0.32163742690058483,-0.5782946907993752
0.8,0.21664555988364242,0.08816504766833108,0.7142857142857143,0.3116883116883117,-0.10573196233336135
0.85,0.22716788143398403,0.08650782938080792,0.7692307692307693,0.2222222222222222,0.0768635207345123
0.9,0.23782519025709364,0.08675865270933249,0.7692307692307693,0.2767857142857143,0.03552623082159545
0.95,0.23942335763309278,0.08675865270933249,0.7692307692307693,0.31999999999999995,-0.051438987740841546
1.0,0.226619579270945,0.08374392020143781,0.7272727272727273,0.32432432432432434,-0.016025848163098155
