alpha,SM,ICP,IFN,NED,normalized_sum
0.0,0.4713335800976374,0.11087338722588412,1.0,0.37521008403361344,-2.057622443496803
0.05,0.4567825720186047,0.10676931153110977,1.0416666666666665,0.37212276214833756,-2.1174257953971902
0.1,0.4595195739181329,0.10611114891506265,0.875,0.3352878464818763,-1.767707341739501
0.15,0.49114792449572164,0.10227817961224511,0.9166666666666667,0.32410236822001526,-1.4667596850940563
0.2,0.4881613985278078,0.10433000555074774,0.9166666666666667,0.3478932584269663,-1.6049474079338526
0.25,0.4939853720407368,0.10347718148814479,0.8666666666666667,0.39216205481265726,-1.6134408876187836
0.3,0.5022601368711276,0.08782220053841434,0.775,0.4610323886639676,-1.3004358580400053
0.35,0.5094889196358519,0.0694714769503687,0.7083333333333333,0.526086588871977,-0.9553239002887606
0.4,0.5085681081259409,0.07018727444545586,0.725,0.40677150192554556,-0.6426786097887627
0.45,0.5156086468539002,0.0670317431766698,0.5416666666666667,0.3531073446327684,-0.13545114020980342
0.5,0.5313620163823627,0.06538183939336972,0.5416666666666667,0.36136235161107966,-0.006932753962391902
0.55,0.5336773361281792,0.07861768695494772,0.5,0.3719415943172849,-0.26096778003034304
0.6,0.5513178009913766,0.08026988312086888,0.5,0.3541044776119403,-0.11324715802034502
0.65,0.5352687903970452,0.07564409008335256,0.6875,0.33722358722358725,-0.31105782998299236
0.7,0.5305925169840264,0.07996525231167408,0.75,0.35492957746478876,-0.5704468728446722
0.75,0.530040256055391,0.09216892263496615,0.8125,0.29304211135931163,-0.7352190456873594
0.8,0.48871927969764284,0.08901947128576586,1.1125,0.22182971014492753,-1.1294334880895922
0.85,0.5344849577078553,0.08658380535715887,1.0833333333333335,0.20507021015926868,-0.6505304917716863
0.9,0.5375318968246062,0.08664607380237771,1.25,0.256625,-0.9881291543846777
0.95,0.5915865175782647,0.0884665100030714,1.3125,0.19067142581516494,-0.5074496628404954
1.0,0.5640253215054214,0.08778455251840583,1.2333333333333334,0.21302521008403363,-0.6661219527180962
